ID,Vraag,Antwoord,Taal vraag,Taal antwoord,Methode en hoofdstuk
1429,onmiddellijk,immediate / immediately,Nederlands,Engels,AllRight2-2v-H5-NE
1430,gewond,injured,Nederlands,Engels,AllRight2-2v-H5-NE
1431,kaak,jaw,Nederlands,Engels,AllRight2-2v-H5-NE
1432,Geintje!,Just kidding!,Nederlands,Engels,AllRight2-2v-H5-NE
1433,beperkt,limited,Nederlands,Engels,AllRight2-2v-H5-NE
1434,leeuw,lion,Nederlands,Engels,AllRight2-2v-H5-NE
1435,aap / chimpansee,monkey,Nederlands,Engels,AllRight2-2v-H5-NE
1436,berg,mountain,Nederlands,Engels,AllRight2-2v-H5-NE
1437,keuze / keus,option,Nederlands,Engels,AllRight2-2v-H5-NE
1438,meedoen / deelnemen,participate,Nederlands,Engels,AllRight2-2v-H5-NE
1439,keuze genoeg,plenty of choice,Nederlands,Engels,AllRight2-2v-H5-NE
1440,deel / gedeelte,portion,Nederlands,Engels,AllRight2-2v-H5-NE
1441,sterk / krachtig,powerful,Nederlands,Engels,AllRight2-2v-H5-NE
1442,voorkomen,prevent,Nederlands,Engels,AllRight2-2v-H5-NE
1443,aanleveren / leveren / bieden,provide,Nederlands,Engels,AllRight2-2v-H5-NE
1444,optillen / omhoog doen / opvoeden,raise,Nederlands,Engels,AllRight2-2v-H5-NE
1445,zeldzaam,rare,Nederlands,Engels,AllRight2-2v-H5-NE
1446,redelijk,reasonable,Nederlands,Engels,AllRight2-2v-H5-NE
1447,aanbevelen,recommend,Nederlands,Engels,AllRight2-2v-H5-NE
1448,familielid,relative,Nederlands,Engels,AllRight2-2v-H5-NE
1449,redden,rescue,Nederlands,Engels,AllRight2-2v-H5-NE
1450,zich terugtrekken,retire,Nederlands,Engels,AllRight2-2v-H5-NE
1451,veiligheidsregel,safety rule,Nederlands,Engels,AllRight2-2v-H5-NE
1452,zweven / varen,sail,Nederlands,Engels,AllRight2-2v-H5-NE
1453,wetenschap,science,Nederlands,Engels,AllRight2-2v-H5-NE
1454,verscheidene / enkele,several,Nederlands,Engels,AllRight2-2v-H5-NE
1455,in leven blijven,stay alive,Nederlands,Engels,AllRight2-2v-H5-NE
1456,zonsopkomst,sunrise,Nederlands,Engels,AllRight2-2v-H5-NE
1457,zonsondergang,sunset,Nederlands,Engels,AllRight2-2v-H5-NE
1458,steunen,support,Nederlands,Engels,AllRight2-2v-H5-NE
1459,overleven,survive,Nederlands,Engels,AllRight2-2v-H5-NE
1460,onvergetelijk,unforgettable,Nederlands,Engels,AllRight2-2v-H5-NE
1461,vrijwilliger,volunteer,Nederlands,Engels,AllRight2-2v-H5-NE
1462,abolish,afschaffen,Engels,Nederlands,AllRight2-2v-H6-EN
1463,address,aanspreken,Engels,Nederlands,AllRight2-2v-H6-EN
1464,agriculture,landbouw,Engels,Nederlands,AllRight2-2v-H6-EN
1465,beat,kloppen,Engels,Nederlands,AllRight2-2v-H6-EN
1466,by force,met geweld,Engels,Nederlands,AllRight2-2v-H6-EN
1467,cable car,gondel van een kabelbaan,Engels,Nederlands,AllRight2-2v-H6-EN
1468,cheap labour,goedkope arbeidskrachten,Engels,Nederlands,AllRight2-2v-H6-EN
1469,civilian population,burgerbevolking,Engels,Nederlands,AllRight2-2v-H6-EN
1470,community,gemeenschap,Engels,Nederlands,AllRight2-2v-H6-EN
1471,contribution,bijdrage,Engels,Nederlands,AllRight2-2v-H6-EN
1472,craftsman,vakman,Engels,Nederlands,AllRight2-2v-H6-EN
1473,defeat,verslaan,Engels,Nederlands,AllRight2-2v-H6-EN
1474,destroy,vernietigen,Engels,Nederlands,AllRight2-2v-H6-EN
1475,disapprove,afkeuren,Engels,Nederlands,AllRight2-2v-H6-EN
1476,dough,deeg,Engels,Nederlands,AllRight2-2v-H6-EN
1477,entire,volledig / heel,Engels,Nederlands,AllRight2-2v-H6-EN
1478,era,tijdperk,Engels,Nederlands,AllRight2-2v-H6-EN
1479,establish,vestigen / opzetten,Engels,Nederlands,AllRight2-2v-H6-EN
1480,etiquette,etiquette / gedragsvormen,Engels,Nederlands,AllRight2-2v-H6-EN
1481,extend,reiken,Engels,Nederlands,AllRight2-2v-H6-EN
1482,former,voormalig,Engels,Nederlands,AllRight2-2v-H6-EN
1483,fortune seeker,gelukzoeker,Engels,Nederlands,AllRight2-2v-H6-EN
1484,funds,geld / middelen,Engels,Nederlands,AllRight2-2v-H6-EN
1485,gambling,gokken,Engels,Nederlands,AllRight2-2v-H6-EN
1486,gossip,roddelen,Engels,Nederlands,AllRight2-2v-H6-EN
1487,harsh,heel zwaar,Engels,Nederlands,AllRight2-2v-H6-EN
1488,incurable,ongeneeslijk,Engels,Nederlands,AllRight2-2v-H6-EN
1489,lack of,tekort aan,Engels,Nederlands,AllRight2-2v-H6-EN
1490,landmark,belangrijke plaats,Engels,Nederlands,AllRight2-2v-H6-EN
1491,legal,juridisch,Engels,Nederlands,AllRight2-2v-H6-EN
1492,lighthouse,vuurtoren,Engels,Nederlands,AllRight2-2v-H6-EN
1493,manufacturing,productie industrie / industrie,Engels,Nederlands,AllRight2-2v-H6-EN
1494,margin,kantlijn,Engels,Nederlands,AllRight2-2v-H6-EN
1495,merchant,koopman / handelaar,Engels,Nederlands,AllRight2-2v-H6-EN
1496,merge,fuseren / samengaan,Engels,Nederlands,AllRight2-2v-H6-EN
1497,mining,mijnbouw,Engels,Nederlands,AllRight2-2v-H6-EN
1498,minority,minderheid,Engels,Nederlands,AllRight2-2v-H6-EN
1499,navigator,stuurman,Engels,Nederlands,AllRight2-2v-H6-EN
1500,neglect,verwaarlozen,Engels,Nederlands,AllRight2-2v-H6-EN
1501,ostrich,struisvogel,Engels,Nederlands,AllRight2-2v-H6-EN
1502,perform,uitvoeren,Engels,Nederlands,AllRight2-2v-H6-EN
1503,pneumonia,longontsteking,Engels,Nederlands,AllRight2-2v-H6-EN
1504,pronounce,verklaren,Engels,Nederlands,AllRight2-2v-H6-EN
1505,rebuild,herbouwen,Engels,Nederlands,AllRight2-2v-H6-EN
1506,resemble,lijken op,Engels,Nederlands,AllRight2-2v-H6-EN
1507,royal court,hof,Engels,Nederlands,AllRight2-2v-H6-EN
1508,senior citizen,oudere / gepensioneerde,Engels,Nederlands,AllRight2-2v-H6-EN
1509,settler,kolonist,Engels,Nederlands,AllRight2-2v-H6-EN
1510,shovel,schop,Engels,Nederlands,AllRight2-2v-H6-EN
1511,suppression,onderdrukking,Engels,Nederlands,AllRight2-2v-H6-EN
1512,surface,oppervlak,Engels,Nederlands,AllRight2-2v-H6-EN
1513,surgeon,chirurg,Engels,Nederlands,AllRight2-2v-H6-EN
1514,territory,gebied,Engels,Nederlands,AllRight2-2v-H6-EN
1515,tribe,stam,Engels,Nederlands,AllRight2-2v-H6-EN
1516,undertake,ondernemen,Engels,Nederlands,AllRight2-2v-H6-EN
1517,visible,zichtbaar,Engels,Nederlands,AllRight2-2v-H6-EN
1518,blijken,appear,Nederlands,Engels,AllRight2-2v-H6-NE
1519,oever,bank,Nederlands,Engels,AllRight2-2v-H6-NE
1520,toebehoren aan,belong to,Nederlands,Engels,AllRight2-2v-H6-NE
1521,brengen,bring - brought - brought,Nederlands,Engels,AllRight2-2v-H6-NE
1522,Britse rijk,British Empire,Nederlands,Engels,AllRight2-2v-H6-NE
1523,kolen,coal,Nederlands,Engels,AllRight2-2v-H6-NE
1524,misdaad,crime,Nederlands,Engels,AllRight2-2v-H6-NE
1525,diamant,diamond,Nederlands,Engels,AllRight2-2v-H6-NE
1526,graven,dig - dug - dug,Nederlands,Engels,AllRight2-2v-H6-NE
1527,verdwijnen,disappear,Nederlands,Engels,AllRight2-2v-H6-NE
1528,ontdekking,discovery,Nederlands,Engels,AllRight2-2v-H6-NE
1529,wijk,district,Nederlands,Engels,AllRight2-2v-H6-NE
1530,verder,farther,Nederlands,Engels,AllRight2-2v-H6-NE
1531,opgroeien,grow up - grew up - grown up,Nederlands,Engels,AllRight2-2v-H6-NE
1532,haven,harbour,Nederlands,Engels,AllRight2-2v-H6-NE
1533,verhitten,heat,Nederlands,Engels,AllRight2-2v-H6-NE
1534,gastvrouw,hostess,Nederlands,Engels,AllRight2-2v-H6-NE
1535,echter / maar,however,Nederlands,Engels,AllRight2-2v-H6-NE
1536,in die richting,in that direction,Nederlands,Engels,AllRight2-2v-H6-NE
1537,in de verte,in the distance,Nederlands,Engels,AllRight2-2v-H6-NE
1538,inclusief,including,Nederlands,Engels,AllRight2-2v-H6-NE
1539,onafhankelijk,independent,Nederlands,Engels,AllRight2-2v-H6-NE
1540,uitnodigen,invite,Nederlands,Engels,AllRight2-2v-H6-NE
1541,ijzer,iron,Nederlands,Engels,AllRight2-2v-H6-NE
1542,het lijkt alsof,it seems as though,Nederlands,Engels,AllRight2-2v-H6-NE
1543,ridder,knight,Nederlands,Engels,AllRight2-2v-H6-NE
1544,laag,layer,Nederlands,Engels,AllRight2-2v-H6-NE
1545,leiding geven aan,lead,Nederlands,Engels,AllRight2-2v-H6-NE
1546,vertrekken / verlaten,leave - left - left,Nederlands,Engels,AllRight2-2v-H6-NE
1547,verlies,loss,Nederlands,Engels,AllRight2-2v-H6-NE
1548,gelukkig,luckily,Nederlands,Engels,AllRight2-2v-H6-NE
1549,goede manieren,manners,Nederlands,Engels,AllRight2-2v-H6-NE
1550,kantoorgebouw,office building,Nederlands,Engels,AllRight2-2v-H6-NE
1551,gewoon,ordinary,Nederlands,Engels,AllRight2-2v-H6-NE
1552,beleefde,polite,Nederlands,Engels,AllRight2-2v-H6-NE
1553,armoede,poverty,Nederlands,Engels,AllRight2-2v-H6-NE
1554,gevangenis,prison,Nederlands,Engels,AllRight2-2v-H6-NE
1555,gevangene,prisoner,Nederlands,Engels,AllRight2-2v-H6-NE
1556,vooruitgang,progress,Nederlands,Engels,AllRight2-2v-H6-NE
1557,eigendom,property,Nederlands,Engels,AllRight2-2v-H6-NE
1558,ras,race,Nederlands,Engels,AllRight2-2v-H6-NE
1559,snel,rapid,Nederlands,Engels,AllRight2-2v-H6-NE
1560,doen verminderen / verminderen,reduce,Nederlands,Engels,AllRight2-2v-H6-NE
1561,verwijderen,remove,Nederlands,Engels,AllRight2-2v-H6-NE
1562,onbeleefd / ongemanierd,rude,Nederlands,Engels,AllRight2-2v-H6-NE
1563,varen,sail,Nederlands,Engels,AllRight2-2v-H6-NE
1564,zeeman,sailor,Nederlands,Engels,AllRight2-2v-H6-NE
1565,van elkaar scheiden / scheiden,separate,Nederlands,Engels,AllRight2-2v-H6-NE
1566,slavernij,slavery,Nederlands,Engels,AllRight2-2v-H6-NE
1567,zogeheten / zogenaamd,so-called,Nederlands,Engels,AllRight2-2v-H6-NE
1568,grond / aarde,soil,Nederlands,Engels,AllRight2-2v-H6-NE
1569,besteden / doorbrengen,spend - spent - spent,Nederlands,Engels,AllRight2-2v-H6-NE
1570,strijd,struggle,Nederlands,Engels,AllRight2-2v-H6-NE
1571,lijden aan,suffer from,Nederlands,Engels,AllRight2-2v-H6-NE
1572,voorstel,suggestion,Nederlands,Engels,AllRight2-2v-H6-NE
1573,instrument / gereedschap,tool,Nederlands,Engels,AllRight2-2v-H6-NE
1574,schat,treasure,Nederlands,Engels,AllRight2-2v-H6-NE
1575,werkloosheid,unemployment,Nederlands,Engels,AllRight2-2v-H6-NE
1576,waardevol,valuable,Nederlands,Engels,AllRight2-2v-H6-NE
1577,geweld,violence,Nederlands,Engels,AllRight2-2v-H6-NE
1578,zeereis,voyage,Nederlands,Engels,AllRight2-2v-H6-NE
1579,fluisteren,whisper,Nederlands,Engels,AllRight2-2v-H6-NE
1580,veelgebruikt,widely used,Nederlands,Engels,AllRight2-2v-H6-NE
1581,wijdverspreid / veelvoorkomend,widespread,Nederlands,Engels,AllRight2-2v-H6-NE
1582,bereidwillig / bereid,willing,Nederlands,Engels,AllRight2-2v-H6-NE
1583,agency,bureau,Engels,Nederlands,AllRight2-2v-H7-EN
1584,anorexic,iemand met eetstoornis,Engels,Nederlands,AllRight2-2v-H7-EN
1585,attend,deelnemen aan,Engels,Nederlands,AllRight2-2v-H7-EN
1586,average,gewoontjes / gemiddeld,Engels,Nederlands,AllRight2-2v-H7-EN
1587,beloved,geliefd,Engels,Nederlands,AllRight2-2v-H7-EN
1588,betrayal,verraad,Engels,Nederlands,AllRight2-2v-H7-EN
1589,bother,lastigvallen,Engels,Nederlands,AllRight2-2v-H7-EN
1590,box office success,kaskraker,Engels,Nederlands,AllRight2-2v-H7-EN
1591,capture,gevangennemen,Engels,Nederlands,AllRight2-2v-H7-EN
1592,casual,vrijetijds / vrijetijds kleding,Engels,Nederlands,AllRight2-2v-H7-EN
1593,crew member,lid van een team,Engels,Nederlands,AllRight2-2v-H7-EN
1594,cruel,wreed,Engels,Nederlands,AllRight2-2v-H7-EN
1595,descend upon,teisteren,Engels,Nederlands,AllRight2-2v-H7-EN
1596,draw attention to,aandacht trekken,Engels,Nederlands,AllRight2-2v-H7-EN
1597,due to,vanwege,Engels,Nederlands,AllRight2-2v-H7-EN
1598,exhausted,uitgeput,Engels,Nederlands,AllRight2-2v-H7-EN
1599,extra,figurant,Engels,Nederlands,AllRight2-2v-H7-EN
1600,fictional,fictief,Engels,Nederlands,AllRight2-2v-H7-EN
1601,film review,beoordeling / recensie,Engels,Nederlands,AllRight2-2v-H7-EN
1602,gesture,gebaar,Engels,Nederlands,AllRight2-2v-H7-EN
1603,hazard,gevaar,Engels,Nederlands,AllRight2-2v-H7-EN
1604,head off to,ergens heen gaan,Engels,Nederlands,AllRight2-2v-H7-EN
1605,in the limelight,in de schijnwerpers,Engels,Nederlands,AllRight2-2v-H7-EN
1606,influential,invloedrijk,Engels,Nederlands,AllRight2-2v-H7-EN
1607,islander,eilandbewoner,Engels,Nederlands,AllRight2-2v-H7-EN
1608,issue,probleem / discussiepunt,Engels,Nederlands,AllRight2-2v-H7-EN
1609,key,belangrijk / sleutel,Engels,Nederlands,AllRight2-2v-H7-EN
1610,loft,zolder,Engels,Nederlands,AllRight2-2v-H7-EN
1611,martyr,martelaar,Engels,Nederlands,AllRight2-2v-H7-EN
1612,meanwhile,ondertussen,Engels,Nederlands,AllRight2-2v-H7-EN
1613,middle school,brugklas,Engels,Nederlands,AllRight2-2v-H7-EN
1614,occupation,bezetting,Engels,Nederlands,AllRight2-2v-H7-EN
1615,once-in-a-lifetime,eenmalig / uniek,Engels,Nederlands,AllRight2-2v-H7-EN
1616,ordeal,beproeving / zware tijd,Engels,Nederlands,AllRight2-2v-H7-EN
1617,plot,samenzweren / beramen,Engels,Nederlands,AllRight2-2v-H7-EN
1618,quest,zoektocht,Engels,Nederlands,AllRight2-2v-H7-EN
1619,range of,scala aan / verschillende,Engels,Nederlands,AllRight2-2v-H7-EN
1620,red carpet,rode loper,Engels,Nederlands,AllRight2-2v-H7-EN
1621,rehab,afkicken,Engels,Nederlands,AllRight2-2v-H7-EN
1622,relive,herbeleven,Engels,Nederlands,AllRight2-2v-H7-EN
1623,request,verzoeken / verzoeken om,Engels,Nederlands,AllRight2-2v-H7-EN
1624,resistance movement,verzetsbeweging,Engels,Nederlands,AllRight2-2v-H7-EN
1625,roller coaster ride,wilde rit,Engels,Nederlands,AllRight2-2v-H7-EN
1626,rule,heersen / heersen over,Engels,Nederlands,AllRight2-2v-H7-EN
1627,rush,zich haasten,Engels,Nederlands,AllRight2-2v-H7-EN
1628,scarred,getekend / met een litteken,Engels,Nederlands,AllRight2-2v-H7-EN
1629,seize,grijpen / pakken,Engels,Nederlands,AllRight2-2v-H7-EN
1630,serve as,dienen als,Engels,Nederlands,AllRight2-2v-H7-EN
1631,setting,achtergrond,Engels,Nederlands,AllRight2-2v-H7-EN
1632,spoil,bederven / laten mislukken,Engels,Nederlands,AllRight2-2v-H7-EN
1633,square,plein,Engels,Nederlands,AllRight2-2v-H7-EN
1634,superb,uitmuntend / voortreffelijk,Engels,Nederlands,AllRight2-2v-H7-EN
1635,suspicious,verdacht,Engels,Nederlands,AllRight2-2v-H7-EN
1636,"the more, the better","hoe meer, hoe beter",Engels,Nederlands,AllRight2-2v-H7-EN
1637,tour,tournee,Engels,Nederlands,AllRight2-2v-H7-EN
1638,triumphant,triomfantelijk,Engels,Nederlands,AllRight2-2v-H7-EN
1639,trusted,vertrouwd,Engels,Nederlands,AllRight2-2v-H7-EN
1640,venue,locatie,Engels,Nederlands,AllRight2-2v-H7-EN
1641,wander around,rondzwerven,Engels,Nederlands,AllRight2-2v-H7-EN
1642,wardrobe,garderobe,Engels,Nederlands,AllRight2-2v-H7-EN
1643,withdraw,zich terugtrekken,Engels,Nederlands,AllRight2-2v-H7-EN
1644,verslaafde,addict,Nederlands,Engels,AllRight2-2v-H7-NE
1645,verslaving,addiction,Nederlands,Engels,AllRight2-2v-H7-NE
1646,bericht / aankondiging,announcement,Nederlands,Engels,AllRight2-2v-H7-NE
1647,leger,army,Nederlands,Engels,AllRight2-2v-H7-NE
1648,poging,attempt,Nederlands,Engels,AllRight2-2v-H7-NE
1649,publiek,audience,Nederlands,Engels,AllRight2-2v-H7-NE
1650,afbranden,burn down - burnt down / burned down - burnt down / burned down,Nederlands,Engels,AllRight2-2v-H7-NE
1651,in tranen uitbarsten,burst into tears,Nederlands,Engels,AllRight2-2v-H7-NE
1652,taxi,cab,Nederlands,Engels,AllRight2-2v-H7-NE
1653,loopbaan / carrière,career,Nederlands,Engels,AllRight2-2v-H7-NE
1654,jeugd / kindertijd,childhood,Nederlands,Engels,AllRight2-2v-H7-NE
1655,kiezen,choose - chose - chosen,Nederlands,Engels,AllRight2-2v-H7-NE
1656,mensenmassa,crowd,Nederlands,Engels,AllRight2-2v-H7-NE
1657,huidig / tegenwoordig,current,Nederlands,Engels,AllRight2-2v-H7-NE
1658,dood,death,Nederlands,Engels,AllRight2-2v-H7-NE
1659,beschrijven,describe,Nederlands,Engels,AllRight2-2v-H7-NE
1660,verdienen,deserve,Nederlands,Engels,AllRight2-2v-H7-NE
1661,verlangen,desire,Nederlands,Engels,AllRight2-2v-H7-NE
1662,wanhopig,desperate,Nederlands,Engels,AllRight2-2v-H7-NE
1663,stom,dumb,Nederlands,Engels,AllRight2-2v-H7-NE
1664,plezierig / prettig,enjoyable,Nederlands,Engels,AllRight2-2v-H7-NE
1665,toegang / ingang,entrance,Nederlands,Engels,AllRight2-2v-H7-NE
1666,ontsnappen,escape,Nederlands,Engels,AllRight2-2v-H7-NE
1667,opwinding,excitement,Nederlands,Engels,AllRight2-2v-H7-NE
1668,dwingen,force,Nederlands,Engels,AllRight2-2v-H7-NE
1669,vanaf komen,get rid of,Nederlands,Engels,AllRight2-2v-H7-NE
1670,toevallig hier zijn,happen to be here,Nederlands,Engels,AllRight2-2v-H7-NE
1671,horen,hear - heard - heard,Nederlands,Engels,AllRight2-2v-H7-NE
1672,verstoppen,hide - hid - hidden,Nederlands,Engels,AllRight2-2v-H7-NE
1673,negeren,ignore,Nederlands,Engels,AllRight2-2v-H7-NE
1674,beeld,image,Nederlands,Engels,AllRight2-2v-H7-NE
1675,bevatten / inbegrijpen in,include,Nederlands,Engels,AllRight2-2v-H7-NE
1676,onschuldig,innocent,Nederlands,Engels,AllRight2-2v-H7-NE
1677,jaloers,jealous,Nederlands,Engels,AllRight2-2v-H7-NE
1678,hoofdgerecht,main course,Nederlands,Engels,AllRight2-2v-H7-NE
1679,Middellandse Zee,Mediterranean / Mediterranean Sea,Nederlands,Engels,AllRight2-2v-H7-NE
1680,middernacht,midnight,Nederlands,Engels,AllRight2-2v-H7-NE
1681,hinderlijk geluid / geluid,noise,Nederlands,Engels,AllRight2-2v-H7-NE
1682,op vakantie,on vacation,Nederlands,Engels,AllRight2-2v-H7-NE
1683,bestellen,order,Nederlands,Engels,AllRight2-2v-H7-NE
1684,ansichtkaart,postcard,Nederlands,Engels,AllRight2-2v-H7-NE
1685,druk,pressure,Nederlands,Engels,AllRight2-2v-H7-NE
1686,receptie / ontvangstbalie,reception desk,Nederlands,Engels,AllRight2-2v-H7-NE
1687,wraak,revenge,Nederlands,Engels,AllRight2-2v-H7-NE
1688,doorzoeken / zoeken,search,Nederlands,Engels,AllRight2-2v-H7-NE
1689,zelfzuchtig,selfish,Nederlands,Engels,AllRight2-2v-H7-NE
1690,sturen / verzenden,send - sent - sent,Nederlands,Engels,AllRight2-2v-H7-NE
1691,apart,separate,Nederlands,Engels,AllRight2-2v-H7-NE
1692,glimlachen,smile,Nederlands,Engels,AllRight2-2v-H7-NE
1693,geluid,sound,Nederlands,Engels,AllRight2-2v-H7-NE
1694,vierkante kilometer,square kilometre,Nederlands,Engels,AllRight2-2v-H7-NE
1695,uit de problemen blijven,stay out of trouble,Nederlands,Engels,AllRight2-2v-H7-NE
1696,uitzetten / uitschakelen,switch off,Nederlands,Engels,AllRight2-2v-H7-NE
1697,plaatsvinden,take place,Nederlands,Engels,AllRight2-2v-H7-NE
1698,dorst / verlangen naar,thirst for / thirst,Nederlands,Engels,AllRight2-2v-H7-NE
1699,VVV kantoor,tourist information office,Nederlands,Engels,AllRight2-2v-H7-NE
1700,handel,trade,Nederlands,Engels,AllRight2-2v-H7-NE
1701,zwaaien,wave,Nederlands,Engels,AllRight2-2v-H7-NE
1702,wat / welke dan ook,whatever,Nederlands,Engels,AllRight2-2v-H7-NE
1703,heel / volledig,whole,Nederlands,Engels,AllRight2-2v-H7-NE
1704,winnen,win - won - won,Nederlands,Engels,AllRight2-2v-H7-NE
1705,ongerust / bezorgd,worried,Nederlands,Engels,AllRight2-2v-H7-NE
1706,as well,net zo goed,Engels,Nederlands,AllRight2-2v-H8-EN
1707,assignment,opdracht,Engels,Nederlands,AllRight2-2v-H8-EN
1708,bombing,bombardement,Engels,Nederlands,AllRight2-2v-H8-EN
1709,buzz,kick,Engels,Nederlands,AllRight2-2v-H8-EN
1710,cheese grater,rasp,Engels,Nederlands,AllRight2-2v-H8-EN
1711,coincidence,toeval,Engels,Nederlands,AllRight2-2v-H8-EN
1712,command,bevel / instructie / commando,Engels,Nederlands,AllRight2-2v-H8-EN
1713,concerned,bezorgd,Engels,Nederlands,AllRight2-2v-H8-EN
1714,convert,verbouwen / veranderen,Engels,Nederlands,AllRight2-2v-H8-EN
1715,cope with,iets aankunnen,Engels,Nederlands,AllRight2-2v-H8-EN
1716,diverse,divers / gevarieerd,Engels,Nederlands,AllRight2-2v-H8-EN
1717,do up,opknappen,Engels,Nederlands,AllRight2-2v-H8-EN
1718,estate agent,makelaar,Engels,Nederlands,AllRight2-2v-H8-EN
1719,feat,prestatie / knappe prestatie,Engels,Nederlands,AllRight2-2v-H8-EN
1720,flat fee,een vaste bijdrage,Engels,Nederlands,AllRight2-2v-H8-EN
1721,gain,verkrijgen / verwerven,Engels,Nederlands,AllRight2-2v-H8-EN
1722,gherkin,augurk,Engels,Nederlands,AllRight2-2v-H8-EN
1723,impact,invloed / effect,Engels,Nederlands,AllRight2-2v-H8-EN
1724,landmark,historisch monument,Engels,Nederlands,AllRight2-2v-H8-EN
1725,leisure facility,ontspanningscentrum,Engels,Nederlands,AllRight2-2v-H8-EN
1726,mainland,vasteland / vasteland van,Engels,Nederlands,AllRight2-2v-H8-EN
1727,mass-produce,in grote aantallen produceren,Engels,Nederlands,AllRight2-2v-H8-EN
1728,mature,volwassen / rijp,Engels,Nederlands,AllRight2-2v-H8-EN
1729,nickname,bijnaam,Engels,Nederlands,AllRight2-2v-H8-EN
1730,obviously,blijkbaar,Engels,Nederlands,AllRight2-2v-H8-EN
1731,on the fly,spontaan / zonder nadenken,Engels,Nederlands,AllRight2-2v-H8-EN
1732,parchment,perkament,Engels,Nederlands,AllRight2-2v-H8-EN
1733,performer,artiest die optreedt,Engels,Nederlands,AllRight2-2v-H8-EN
1734,phone box,telefooncel,Engels,Nederlands,AllRight2-2v-H8-EN
1735,pickle,augurk,Engels,Nederlands,AllRight2-2v-H8-EN
1736,pilot's license (AmE) / pilot's license,vliegbrevet,Engels,Nederlands,AllRight2-2v-H8-EN
1737,plague,pest,Engels,Nederlands,AllRight2-2v-H8-EN
1738,radio set,radiotoestel,Engels,Nederlands,AllRight2-2v-H8-EN
1739,reconsider,heroverwegen,Engels,Nederlands,AllRight2-2v-H8-EN
1740,redevelop,opnieuw ontwikkelen,Engels,Nederlands,AllRight2-2v-H8-EN
1741,reinvent,opnieuw uitvinden,Engels,Nederlands,AllRight2-2v-H8-EN
1742,resources,middelen,Engels,Nederlands,AllRight2-2v-H8-EN
1743,run-down,vervallen,Engels,Nederlands,AllRight2-2v-H8-EN
1744,scheme,plan,Engels,Nederlands,AllRight2-2v-H8-EN
1745,settle,zich vestigen,Engels,Nederlands,AllRight2-2v-H8-EN
1746,shard,scherf,Engels,Nederlands,AllRight2-2v-H8-EN
1747,single-handed,in je eentje,Engels,Nederlands,AllRight2-2v-H8-EN
1748,supply,zorgen voor,Engels,Nederlands,AllRight2-2v-H8-EN
1749,swing,schommel,Engels,Nederlands,AllRight2-2v-H8-EN
1750,unlimited access,onbeperkt toegang,Engels,Nederlands,AllRight2-2v-H8-EN
1751,urban renewal project,stadsvernieuwingsproject,Engels,Nederlands,AllRight2-2v-H8-EN
1752,wheel,reuzenrad / rad,Engels,Nederlands,AllRight2-2v-H8-EN
1753,worthwhile,de moeite waard,Engels,Nederlands,AllRight2-2v-H8-EN
1754,year nine,derde klas middelbare school,Engels,Nederlands,AllRight2-2v-H8-EN
1755,avontuurlijk,adventurous,Nederlands,Engels,AllRight2-2v-H8-NE
1756,beïnvloeden,affect,Nederlands,Engels,AllRight2-2v-H8-NE
1757,langs de rivier,along the river,Nederlands,Engels,AllRight2-2v-H8-NE
1758,grappig / geestig,amusing,Nederlands,Engels,AllRight2-2v-H8-NE
1759,nog een,another one / another,Nederlands,Engels,AllRight2-2v-H8-NE
1760,aannemen,assume,Nederlands,Engels,AllRight2-2v-H8-NE
1761,aantrekkelijk,attractive,Nederlands,Engels,AllRight2-2v-H8-NE
1762,weg,away,Nederlands,Engels,AllRight2-2v-H8-NE
1763,terug,back,Nederlands,Engels,AllRight2-2v-H8-NE
1764,behalve / buiten,besides,Nederlands,Engels,AllRight2-2v-H8-NE
1765,flatgebouw,block of flats,Nederlands,Engels,AllRight2-2v-H8-NE
1766,verandering,change,Nederlands,Engels,AllRight2-2v-H8-NE
1767,handig in,clever at,Nederlands,Engels,AllRight2-2v-H8-NE
1768,dichtbij,close to,Nederlands,Engels,AllRight2-2v-H8-NE
1769,buurthuis,community centre,Nederlands,Engels,AllRight2-2v-H8-NE
1770,componeren,compose,Nederlands,Engels,AllRight2-2v-H8-NE
1771,afhankelijk van,dependent on,Nederlands,Engels,AllRight2-2v-H8-NE
1772,vernietigen,destroy,Nederlands,Engels,AllRight2-2v-H8-NE
1773,ontwikkelen,develop,Nederlands,Engels,AllRight2-2v-H8-NE
1774,ontwikkeling,development,Nederlands,Engels,AllRight2-2v-H8-NE
1775,tijdens,during,Nederlands,Engels,AllRight2-2v-H8-NE
1776,reusachtig,enormous,Nederlands,Engels,AllRight2-2v-H8-NE
1777,opstel,essay,Nederlands,Engels,AllRight2-2v-H8-NE
1778,behalve,except,Nederlands,Engels,AllRight2-2v-H8-NE
1779,verdieping,floor,Nederlands,Engels,AllRight2-2v-H8-NE
1780,voetbalveld,football pitch,Nederlands,Engels,AllRight2-2v-H8-NE
1781,gewend raken aan,get used to,Nederlands,Engels,AllRight2-2v-H8-NE
1782,een hekel aan hebben,hate,Nederlands,Engels,AllRight2-2v-H8-NE
1783,indrukwekkend,impressive,Nederlands,Engels,AllRight2-2v-H8-NE
1784,verbetering,improvement,Nederlands,Engels,AllRight2-2v-H8-NE
1785,uitvinding,invention,Nederlands,Engels,AllRight2-2v-H8-NE
